archivo,tier,origen,decision,motivo,codec,sample_rate,channels,duration_s,declared_bits,real_bits,lossy_encoder_tags,converter_tags,ref_db,cliff_hz,cliff_drop_db,hf_ratio_db
"C:\Users\David Zapata\Desktop\Music\085 - Ozuna, Omar Courtz Zizi [Daniel B V!P Intro].wav",B,"pack de DJ edits, VIPs y remixes de DJs/editores",exploratory_clean,sin firmas de compresion previa,pcm_s16le,44100,2,152.5,16,17,,,21.5,21400.0,15.1,-19.1
C:\Users\David Zapata\Desktop\Music\087 - Ozuna Unica [Complet Live Mashup] 8A.wav,B,"pack de DJ edits, VIPs y remixes de DJs/editores",exploratory_clean,sin firmas de compresion previa,pcm_s16le,44100,2,160.0,16,17,,,22.0,20800.0,11.7,-23.2
C:\Users\David Zapata\Desktop\Music\090 - El Clan De La Habana Una Vida Pasada [Daniel B V!P Intro].wav,B,"pack de DJ edits, VIPs y remixes de DJs/editores",exploratory_clean,sin firmas de compresion previa,pcm_s16le,44100,2,194.7,16,17,,,20.3,21400.0,34.7,-12.9
C:\Users\David Zapata\Desktop\Music\091 - Guayacan Orquesta Mujer de Carne y Hueso [Daniel B V!P].wav,B,"pack de DJ edits, VIPs y remixes de DJs/editores",exploratory_clean,sin firmas de compresion previa,pcm_s16le,44100,2,208.4,16,17,,,21.1,19700.0,14.1,-26.7
C:\Users\David Zapata\Desktop\Music\095 - Bb Trickz poonte perrita (Ponte Perrita) [Daniel B V!P Coro].wav,B,"pack de DJ edits, VIPs y remixes de DJs/editores",exploratory_clean,sin firmas de compresion previa,pcm_s16le,44100,2,116.2,16,17,,,25.7,21400.0,15.5,-17.4
C:\Users\David Zapata\Desktop\Music\098 - Lary Over x Amenazzy x Farruko Solo [Complet Edit Aca Out] 9A.wav,B,"pack de DJ edits, VIPs y remixes de DJs/editores",exploratory_clean,sin firmas de compresion previa,pcm_s16le,44100,2,142.0,16,17,,,15.6,21200.0,21.3,-22.9
"C:\Users\David Zapata\Desktop\Music\100 - Jay Wheeler, Omar Courtz De Lejitos Rmx (Cumbia) [CTRV!P].wav",B,"pack de DJ edits, VIPs y remixes de DJs/editores",exploratory_clean,sin firmas de compresion previa,pcm_s24le,44100,2,230.4,24,25,,,21.0,21000.0,15.0,-34.8
C:\Users\David Zapata\Desktop\Music\104 - Dhurata Dora x Dj Snake TOKA [Complet Live Mashup] 3A.wav,B,"pack de DJ edits, VIPs y remixes de DJs/editores",exploratory_clean,sin firmas de compresion previa,pcm_s16le,44100,2,161.5,16,17,,,18.5,21000.0,14.6,-25.9
C:\Users\David Zapata\Desktop\Music\110 - Quevedo Ft Nueva Linea AL GOLPITO [RUN!CFLOW].wav,B,"pack de DJ edits, VIPs y remixes de DJs/editores",exploratory_clean,sin firmas de compresion previa,pcm_s16le,44100,2,213.8,16,17,,,22.5,21400.0,12.2,-20.5
C:\Users\David Zapata\Desktop\Music\111 - Fucking Open Show Curwen X Y Que Paso DJ Mazeta.wav,B,"pack de DJ edits, VIPs y remixes de DJs/editores",exploratory_clean,sin firmas de compresion previa,pcm_s16le,44100,2,220.6,16,17,,,19.4,19600.0,9.9,-29.8
C:\Users\David Zapata\Desktop\Music\111 - La Bella Luz Y Que Paso [CTRV!P IO].wav,B,"pack de DJ edits, VIPs y remixes de DJs/editores",exploratory_clean,sin firmas de compresion previa,pcm_s24le,44100,2,243.2,24,25,,,21.7,20200.0,11.8,-35.9
C:\Users\David Zapata\Desktop\Music\120 - KAROL G Bby WOW (Baby Wow) [Daniel B V!P].wav,B,"pack de DJ edits, VIPs y remixes de DJs/editores",exploratory_clean,sin firmas de compresion previa,pcm_s16le,44100,2,234.0,16,17,,,18.6,21400.0,15.3,-21.7
"C:\Users\David Zapata\Desktop\Music\124 - Hugel, LaBritney, Mili Stay Sexy [CTRV!P IO].wav",B,"pack de DJ edits, VIPs y remixes de DJs/editores",exploratory_clean,sin firmas de compresion previa,pcm_s24le,44100,2,140.3,24,25,,,19.4,20200.0,16.3,-26.7
C:\Users\David Zapata\Desktop\Music\124 - Kidd Keo x Yay Ma Vie [Complet Edit Aca Out] 2A.wav,B,"pack de DJ edits, VIPs y remixes de DJs/editores",exploratory_clean,sin firmas de compresion previa,pcm_s16le,44100,2,166.5,16,17,,,19.2,21400.0,10.7,-18.8
C:\Users\David Zapata\Desktop\Music\130 - Ariene MC IN MamaZota x POMPI [Complet Edit Aca Out] 11A.wav,B,"pack de DJ edits, VIPs y remixes de DJs/editores",exploratory_clean,sin firmas de compresion previa,pcm_s16le,44100,2,121.8,16,17,,,25.5,21000.0,8.8,-16.7
C:\Users\David Zapata\Desktop\Music\130 - Mauvais Djo Pilé (Gospel) [Complet Edit] 3A.wav,B,"pack de DJ edits, VIPs y remixes de DJs/editores",lossy_confirmed,corte sostenido de 25.7 dB en 20000 Hz,pcm_s16le,44100,2,155.1,16,17,,,23.0,20000.0,25.7,-36.9
C:\Users\David Zapata\Desktop\Music\132 - Somos Vacilon Rogare (In Electro) [Eduardo R Edit].wav,B,"pack de DJ edits, VIPs y remixes de DJs/editores",exploratory_clean,sin firmas de compresion previa,pcm_s16le,44100,2,206.4,16,17,,,21.1,20600.0,16.8,-27.0
C:\Users\David Zapata\Desktop\Music\132 - Somos Vacilon Rogare (In Melodia) [Eduardo R Edit].wav,B,"pack de DJ edits, VIPs y remixes de DJs/editores",exploratory_clean,sin firmas de compresion previa,pcm_s16le,44100,2,191.8,16,17,,,20.0,20600.0,15.0,-27.2
C:\Users\David Zapata\Desktop\Music\135 - Aitana x DB OTB SUPERESTRELLA (Merengue) [Daniel B V!P].wav,B,"pack de DJ edits, VIPs y remixes de DJs/editores",exploratory_clean,sin firmas de compresion previa,pcm_s16le,44100,2,172.4,16,17,,,22.9,21400.0,18.2,-17.1
C:\Users\David Zapata\Desktop\Music\145 - El Mello 06 - WEPA - (BreaKign IO) [PionerosVIP x ZATER].wav,B,"pack de DJ edits, VIPs y remixes de DJs/editores",lossy_confirmed,etiqueta de codificador con perdida: nero,pcm_s16le,44100,2,112.6,16,17,nero,,24.4,15600.0,8.4,-18.6
